Level,PageNumber,Title
1,2,Contents
1,8,Website
1,9,Acknowledgments
1,12,Notation
1,16,Chapter 1 - Introduction
2,23,1.1 Who Should Read This Book?
2,26,1.2 Historical Trends in Deep Learning
3,28,1.2.1 The Many Names and Changing Fortunes of Neural Networks
3,34,1.2.2 Increasing Dataset Sizes
3,35,1.2.3 Increasing Model Sizes
3,38,"1.2.4 Increasing Accuracy, Complexity and Real-World Impact"
1,44,Part I - Applied Math and Machine Learning Basics
2,46,Chapter 2 - Linear Algebra
3,46,"2.1 Scalars, Vectors, Matrices and Tensors"
3,49,2.2 Multiplying Matrices and Vectors
3,51,2.3 Identity and Inverse Matrices
3,52,2.4 Linear Dependence and Span
3,54,2.5 Norms
3,55,2.6 Special Kinds of Matrices and Vectors
3,57,2.7 Eigendecomposition
3,59,2.8 Singular Value Decomposition
3,60,2.9 The Moore-Penrose Pseudoinverse
3,61,2.10 The Trace Operator
3,62,2.11 The Determinant
3,63,2.12 Example: Principal Components Analysis
2,68,Chapter 3 - Probability and Information Theory
3,69,3.1 Why Probability?
3,71,3.2 Random Variables
3,71,3.3 Probability Distributions
4,71,3.3.1 Discrete Variables and Probability Mass Functions
4,73,3.3.2 Continuous Variables and Probability Density Functions 
3,73,3.4 Marginal Probability
3,74,3.5 Conditional Probability
3,74,3.6 The Chain Rule of Conditional Probabilities
3,75,3.7 Independence and Conditional Independence
3,75,"3.8 Expectation, Variance and Covariance"
3,77,3.9 Common Probability Distributions
4,77,3.9.1 Bernoulli Distribution
4,77,3.9.2 Multinoulli Distribution
4,78,3.9.3 Gaussian Distribution
4,80,3.9.4 Exponential and Laplace Distributions
4,80,3.9.5 The Dirac Distribution and Empirical Distribution
4,81,3.9.6 Mixtures of Distributions
3,82,3.10 Useful Properties of Common Functions
3,85,3.11 Bayes&#8217; Rule
3,86,3.12 Technical Details of Continuous Variables
3,88,3.13 Information Theory
3,90,3.14 Structured Probabilistic Models
2,95,Chapter 4 - Numerical Computation
3,95,4.1 Overflow and Underflow
3,97,4.2 Poor Conditioning
